userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,button,side,status
Andi,Reflective,Intro,Tabletop,6.557814,-1.227028,0.6020264,-0.700596,-1.224246,0.6178914,-0.9962866,0,0,0,350.9799,249.9232,4.839427,-9.02,-110.077,4.839,344.484,240.3133,29.08881,-15.516,-119.687,29.089,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,6.681182,-1.226843,0.60211,-0.7004935,-1.223946,0.618192,-0.9958255,0,0,0,350.9751,249.9366,4.840797,-9.025001,-110.063,4.841,344.476,240.3127,29.09362,-15.524,-119.687,29.094,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,6.823795,-1.22702,0.6022362,-0.7004769,-1.224224,0.6181736,-0.9958055,0,0,0,350.971,249.9427,4.826322,-9.029,-110.057,4.826,344.4852,240.317,29.08992,-15.515,-119.683,29.09,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,6.966753,-1.227017,0.60217,-0.700388,-1.224176,0.6183361,-0.9956448,0,0,0,350.9702,249.9325,4.819128,-9.030001,-110.068,4.819,344.4879,240.3155,29.08617,-15.512,-119.684,29.086,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,7.108639,-1.226982,0.6020657,-0.7005568,-1.224007,0.6183596,-0.994909,0,0,0,350.9725,249.9417,4.820423,-9.028001,-110.058,4.82,344.4735,240.3148,29.08313,-15.526,-119.685,29.083,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,7.578713,-1.226913,0.6020532,-0.7005039,-1.224383,0.6180874,-0.9965701,0,0,0,350.975,249.9443,4.823878,-9.025001,-110.056,4.824,344.4956,240.3099,29.0942,-15.504,-119.69,29.094,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,7.703968,-1.227284,0.6018887,-0.7011878,-1.224367,0.6181819,-0.9961927,0,0,0,351.0086,249.9326,4.827576,-8.991,-110.067,4.828,344.4941,240.3121,29.08658,-15.506,-119.688,29.087,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,7.839698,-1.227105,0.6018559,-0.7011378,-1.224112,0.6180577,-0.9961112,0,0,0,350.9863,249.9349,4.822253,-9.014001,-110.065,4.822,344.4937,240.3119,29.08196,-15.506,-119.688,29.082,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,7.96993,-1.227063,0.6018307,-0.70105,-1.2241,0.6177365,-0.9966009,0,0,0,350.9801,249.929,4.830567,-9.02,-110.071,4.831,344.4849,240.3022,29.10088,-15.515,-119.698,29.101,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,8.093247,-1.227181,0.6019076,-0.7010023,-1.224449,0.6177531,-0.9966567,0,0,0,350.9908,249.9316,4.832575,-9.009001,-110.068,4.833,344.4973,240.304,29.0878,-15.503,-119.696,29.088,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,8.218059,-1.227177,0.6019089,-0.7007756,-1.224442,0.6178569,-0.9963715,0,0,0,350.9745,249.938,4.817732,-9.025001,-110.062,4.818,344.4942,240.3083,29.08483,-15.506,-119.692,29.085,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,8.36493,-1.226949,0.6017803,-0.7009158,-1.224147,0.6178559,-0.996145,0,0,0,350.9884,249.9328,4.810151,-9.012,-110.067,4.81,344.4869,240.3,29.08981,-15.513,-119.7,29.09,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,8.493423,-1.227032,0.6017907,-0.7012847,-1.224216,0.6178089,-0.9962573,0,0,0,350.9904,249.9409,4.823478,-9.01,-110.059,4.823,344.4839,240.3034,29.08825,-15.516,-119.697,29.088,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,8.621352,-1.227038,0.6017786,-0.7011099,-1.224167,0.6176074,-0.9967365,0,0,0,350.9888,249.9447,4.826219,-9.011001,-110.055,4.826,344.4839,240.2992,29.0887,-15.516,-119.701,29.089,0,0,0,0,0,0,1,988.6462,,,
