userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,4.475131,4.993273,-0.9552009,1.646339,0.2644709,-0.7092127,1.321998,0.4993231,-0.6363894,1.092928,0.1644742,25.70531,56.34148,359.3755,25.705,56.341,-0.624,341.4112,52.90014,0.8912312,-18.589,52.9,0.891,14.09308,78.25446,349.1523,14.093,78.25401,-10.848,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.602523,5.042418,-0.9845663,1.653679,0.2257816,-0.7631533,1.436096,0.4926934,-0.6885445,1.070784,0.151722,21.46287,50.34785,358.2405,21.463,50.348,-1.759,321.445,46.45982,359.2344,-38.555,46.46,-0.766,12.98121,70.54215,349.99,12.981,70.542,-10.01,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.724473,5.0909,-1.014218,1.66755,0.1900503,-0.8117962,1.50752,0.4737062,-0.7188008,1.053114,0.1464474,13.94831,46.319,358.4175,13.948,46.319,-1.582,310.7732,41.67122,0.6157012,-49.227,41.671,0.6160001,19.55186,62.16551,330.1328,19.552,62.166,-29.867,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.845173,5.130604,-1.035396,1.678366,0.1583427,-0.847118,1.550457,0.4489681,-0.7258007,1.075007,0.1492972,7.398295,43.90528,358.7743,7.398,43.905,-1.226,304.5756,38.62355,2.691466,-55.424,38.624,2.691,13.48745,59.26807,333.7419,13.487,59.268,-26.258,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.97267,5.164187,-1.049748,1.684881,0.128719,-0.8724495,1.57691,0.4273422,-0.7347923,1.084749,0.1592959,2.220244,42.81699,359.0206,2.22,42.817,-0.979,301.2711,35.73481,5.623594,-58.729,35.735,5.624,10.11061,54.39336,336.4429,10.111,54.393,-23.557,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,5.091229,5.184257,-1.056337,1.684538,0.1098587,-0.8814991,1.585747,0.4142797,-0.7343009,1.08487,0.154866,0.8433591,42.17093,358.8313,0.8430001,42.171,-1.169,301.7665,35.58403,8.785507,-58.233,35.584,8.786,9.692142,53.66069,335.796,9.692,53.661,-24.204,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,5.211046,5.200353,-1.05782,1.683462,0.0938924,-0.8848261,1.589796,0.4039543,-0.7289714,1.087558,0.1468372,0.1250498,42.10307,358.5814,0.125,42.103,-1.419,302.2334,35.45181,9.469467,-57.767,35.452,9.469001,8.821914,53.96246,334.772,8.822001,53.962,-25.228,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,5.338518,5.212738,-1.056585,1.682134,0.08171961,-0.8837562,1.590756,0.3957442,-0.7235253,1.083555,0.1371796,359.9427,42.13799,358.3534,-0.057,42.138,-1.647,302.1827,35.52647,8.355483,-57.817,35.526,8.355,9.294022,54.92624,335.1078,9.294001,54.926,-24.892,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,5.456002,5.221983,-1.052749,1.682131,0.07345244,-0.8804997,1.591217,0.3903147,-0.7205291,1.078855,0.130069,359.9493,42.08766,358.2493,-0.051,42.088,-1.751,302.128,35.89728,7.079652,-57.872,35.897,7.08,9.815021,55.15562,335.6129,9.815001,55.156,-24.387,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,5.60658,5.23005,-1.046553,1.680517,0.06871419,-0.874023,1.591281,0.3883928,-0.7199329,1.07315,0.1253769,0.5969493,41.79588,357.9147,0.597,41.796,-2.085,302.9709,36.94479,5.987947,-57.029,36.945,5.988,10.4196,54.40588,335.9122,10.42,54.406,-24.088,0.9996203,708.5776,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
