userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,7.15017,9.508595,-0.6810882,1.203761,-0.1827329,-0.5180846,1.005044,-0.004432201,-0.2474243,0.9111872,-0.0525279,2.647141,69.43916,353.585,2.647,69.439,-6.415,332.0352,89.66374,0.9289231,-27.965,89.664,0.929,306.8826,90.76953,355.0159,-53.117,90.77,-4.984,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.282706,9.509651,-0.6814994,1.203831,-0.1832464,-0.5185027,1.00615,-0.00600481,-0.2483716,0.9121411,-0.05177689,2.598446,69.4808,353.5623,2.598,69.481,-6.438,331.9576,89.97842,0.7496028,-28.042,89.978,0.7500001,306.6626,90.50358,355.229,-53.337,90.50401,-4.771,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.417415,9.510767,-0.6816443,1.204077,-0.1838098,-0.5191205,1.005384,-0.009044409,-0.2483757,0.9123245,-0.05135608,2.349031,69.55763,353.5675,2.349,69.55801,-6.432,331.6504,91.27641,0.2963461,-28.35,91.276,0.296,306.4691,90.2206,355.4272,-53.531,90.221,-4.573,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.556288,9.511955,-0.6821996,1.204236,-0.1842028,-0.5182632,1.005476,-0.008102655,-0.2487001,0.9132336,-0.05191088,2.312637,69.58144,353.5072,2.313,69.581,-6.493001,331.7275,91.24541,359.4789,-28.273,91.245,-0.521,306.2167,90.32021,355.3392,-53.783,90.32001,-4.661,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.686423,9.513262,-0.6823844,1.204428,-0.1849116,-0.5181307,1.006364,-0.007684946,-0.2484176,0.9139197,-0.05234885,2.200316,69.53461,353.5011,2.2,69.535,-6.499,332.0117,91.37634,359.5125,-27.988,91.37601,-0.487,306.1733,90.33804,355.3671,-53.827,90.33801,-4.633,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.820988,9.514844,-0.6821073,1.20523,-0.1857168,-0.5144727,1.007914,0.001038671,-0.2480737,0.9178165,-0.04964614,1.984453,69.5652,353.0655,1.984,69.565,-6.935,330.4855,87.60909,0.329568,-29.514,87.609,0.33,307.1993,89.55365,356.1394,-52.801,89.554,-3.861,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.954107,9.522542,-0.6772718,1.210508,-0.1832132,-0.4976657,1.015625,0.04143381,-0.2497627,0.9496397,-0.04139042,1.562084,69.71575,351.6928,1.562,69.716,-8.307,317.0905,67.53374,355.9713,-42.909,67.534,-4.029,323.9158,93.4446,342.8649,-36.084,93.44501,-17.135,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,8.088332,9.538781,-0.6640069,1.213818,-0.1745709,-0.4537824,0.9918873,0.07992578,-0.2861704,0.9930711,-0.03342557,2.537766,70.58137,350.9435,2.538,70.581,-9.057,309.9644,40.90864,354.5927,-50.036,40.909,-5.407,327.5511,102.2257,333.06,-32.449,102.226,-26.94,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,8.203978,9.56042,-0.6463394,1.218453,-0.1630163,-0.4090834,0.9702592,0.08867443,-0.302488,1.001271,-0.02218008,4.224465,73.73523,350.8828,4.224,73.735,-9.117001,321.4614,42.69821,1.563985,-38.539,42.698,1.564,327.2562,99.36283,338.5916,-32.744,99.36301,-21.408,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,8.324088,9.581678,-0.628682,1.224342,-0.1529055,-0.3849304,0.9633221,0.07429528,-0.2928226,0.9948614,-0.01761055,6.311844,77.02237,350.7845,6.312,77.022,-9.216001,324.9517,48.07316,6.053354,-35.048,48.073,6.053,328.3896,93.77106,348.3597,-31.61,93.771,-11.64,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
